,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,SOL-USD,0.033277747619041356,15.0
1,UMA-USD,ZEC-USD,0.13848604104802154,2.0
2,UMA-USD,AAVE-USD,0.03749605889664549,13.0
3,UMA-USD,ETC-USD,0.12962221895077355,13.0
4,UMA-USD,XTZ-USD,3.2803160366649777,13.0
5,UMA-USD,LINK-USD,0.21978031437862558,10.0
6,UMA-USD,XMR-USD,0.03086981342450864,11.0
7,UMA-USD,YFI-USD,0.0004667429647302559,11.0
8,SOL-USD,ZEC-USD,4.139670573855947,1.0
9,ZEC-USD,AAVE-USD,0.26991439074959916,1.0
10,ZEC-USD,ETC-USD,0.935629454706521,1.0
11,ZEC-USD,XTZ-USD,23.61957876092791,1.0
12,ZEC-USD,LINK-USD,1.577032647487745,1.0
13,ZEC-USD,BCH-USD,0.07957807619018453,4.0
14,ZEC-USD,XMR-USD,0.22183306171674178,1.0
15,ZEC-USD,YFI-USD,0.003358091936095325,1.0
16,ETC-USD,XTZ-USD,25.162372620334246,4.0
17,ETC-USD,YFI-USD,0.0035744334761492105,6.0
18,XTZ-USD,YFI-USD,0.00014202320175843105,11.0
